col1	col2	col3	col4	col5
1	41	1	您好正在看北纬40度二期房子	打个电话问一下
1	41	2	周边环境	明天休息姐
0	42	0	能够看房	装修应该新搞
0	42	1	您好想了解融创文旅城御林即将上架4室房源报价	南十二纬路
1	43	0	房产证	不靠
0	43	1	今天看	思源
0	43	2	想带看看	想看
1	44	0	看	您好
0	44	1	顶楼刚搞装修	不是买房
0	44	2	房子情况	😁😁😁
0	45	0	马路便宜感觉都便宜	您好
0	45	1	学期房	六楼顶楼
0	45	2	方便看房	最低560差不多
0	46	0	套房源价格优惠空间	您好之前咨询恒兴棕榈公馆小区新上房源不知道是否感兴趣
0	46	1	不是刚两年	没有增值税
0	46	2	下次一起看	行政地址盐城市亭湖区戴庄路21号
1	47	0	能够看房	业主看好房子5月份着急用钱
1	47	1	家具算	一梯两户 房率比较高
0	47	2	价钱聊到看不少	想看个几房
1	47	3	套房源价格优惠空间	需要咨询加个微信
1	47	4	有税	想要两室三室
0	48	0	学区	158尾号6825手机号微信
0	48	1	国展六楼最低钱能卖	不是中间套户型
1	49	0	税费大概	好
0	49	1	您好想咨询博雅豪庭小区	2号过来
0	49	2	您好请问户型优缺点	现在估计房主没醒
1	50	0	您好正在看洛铜嘉苑房子	房主做地板生意
1	50	1	公积金贷款支持	周边小学有行知小学制锦市小学天成路小学馆驿街小学影壁后街小学中学15中13中学
0	50	2	这套套	好请稍
1	51	0	套房挺感兴趣	大兴实验小学
1	51	1	房子2号4号去看看看约	不留个电话中午联系
0	51	2	想去看看	房子发给户型看一下 小区相比性价比高
0	51	3	橄榄树业主价格还谈看到最近房价掉	看方便留个联系方式房子变动及时通知
0	51	4	您好请问房子周边学校	位置上海北路国泰路交汇处
0	52	0	能够看房	你好
0	52	1	您好请问房子周边学校	才能过户
1	52	2	中午看看	说婚后二套直接买学区房
1	53	0	您好请问户型优缺点	房子不着急卖
0	53	1	房产证	11楼
0	53	2	老校区	我来约
0	54	0	这套房子还便宜	方便联系
0	54	1	都不得缴契税	不是这是南岗小学
0	54	2	您好正在看中惠广场房子	海河中学新华中学
1	55	0	底价	小区都
0	55	1	房子里楼	谈价空间不好说
1	55	2	帮忙看几套	首付钱
0	56	0	您好请问房子周边学校	看
1	56	1	小学	钥匙
0	56	2	您好请问房子周边学校	离婚离婚协议产权变更债权变更
1	57	0	你好请问这套房子有没有增税	您好
0	57	1	现在看0	价格不能谈
0	57	2	谈	都赠送
1	58	0	能谈	发户型
0	58	1	明天看	想找一套房本贷款
0	58	2	下看房	今天过来
0	59	0	贷款达嘎嘛	好帮先准备好
0	59	1	天洋城暗厅南向两居室能卖钱	看
0	59	2	您好想咨询东景家园小区	建议先看房子价格比较优质
0	59	3	价格能谈	这套新出来
0	60	0	家具家电都带	当然
0	60	1	系统里报24001户型全北	挂已经很低
0	61	0	这套房子有没有收益金	税款大概三万左右
0	61	1	房子贷款	需要电话联系
0	61	2	一会看看	这是公交车
0	61	3	都看下午看看	总价考虑
0	61	4	现在看	上次说西城品阁还看
1	62	0	房价位还谈	上班发
0	62	1	您好想了解紫罗兰家苑即将上架2室房源报价	这套房子附近中学沈阳市第四十中学考虑买学校附近房
1	62	2	公积金贷款	实验部是评成绩进去
0	63	0	270价格	商量
0	63	1	阳光	好
0	63	2	F	这套房子5楼希望楼层高一点低一点
1	64	0	小学	我来约
0	64	1	您好正在看经八路2号小区	不是顶楼
0	64	2	请问一会再看一下	税费
0	65	0	采光	报价都房东真实价格觉得房子帮房东约出来
0	65	1	还优惠不	约好回复
0	65	2	啥时候证满两年	好
0	65	3	最低	小院里面
0	65	4	几期几层	暂时没有产证
1	66	0	这是临街南门楼	不动产房产证
1	66	1	带看看两套撒	您好
0	66	2	土地性质出让有产证	商业配套齐全
0	66	3	其他费用议价空间	线上先带看
0	66	4	价格有少	这套房子18楼总楼层20层
1	67	0	今天看	购房需求
0	67	1	价格帮忙调到278确实看中再谈觉得行不行	年初怎个临平路版块最少涨5%幅度个别房源涨更
0	67	2	看房本不满两年 税费是不是很高	房东说满两年契税发票斩钉截铁说
1	68	0	无产证	没事再找
1	68	1	有没有产权证	过来看我要提前约下房东
0	68	2	你好你好现在方便	45中工业园
0	69	0	附近配套齐全	楼栋北京东路外面出新
0	69	1	 现在方便	价格谈房主诚心卖房子看中联系房主谈价格方便留个联系方式线下约下带看下房子
0	69	2	不是降一万	感谢您咨询链家高级经纪人NAME很荣幸寻找满意家手机号PHONE 直接打电话添加微信PHONENAME竭诚寻找
0	70	0	您好请问房子周边学校	房东都很诚心
0	70	1	两个都二期	电话聊一下具体需求匹配两套一起做个对比
0	70	2	北师大附中市重点中学	觉得价格稍微高些
0	70	3	装修好	PHONE
1	71	0	临街	周末看明天看
0	71	1	看房	27楼
0	71	2	这是几期	30万左右首付
0	72	0	能够看房	想富力城买
1	72	1	挡采光	新上先看看报价310万近期成交价格都305万左右
0	72	2	北京东路	丹灶幼儿园
0	72	3	精装修	首师大还没有普遍招生
0	72	4	阳光	看
1	73	0	这是一期二期房子	贷款116万
0	73	1	您好请问房子周边学校	走廊养养花放放东西晾衣服都
0	73	2	一半地下屋里采光	顶楼
1	74	0	房子实地看	您好发房子还链家所有房源均真实售房源想看看帮约业主时间
0	74	1	户型	明天得空看房
0	74	2	南师附小	首套房
0	75	0	首付	有空去看看好
1	75	1	价钱包括家电	发给您
0	75	2	是不是靠河边	水墨林溪雅苑
0	75	3	价格还便宜	29万加税费中介费4万一共33万
0	75	4	今年已经几年	西财学府憬城精装套三拎包入住户型方正
0	76	0	税费高	考虑孩子上学小区小学育才
0	76	1	您好请问房子周边学校	6楼楼层要求
0	76	2	首师大附中新建	到时候房东谈房东包税
0	76	3	看	二手房主要税费太多
0	76	4	家具一起	双流体育馆
0	77	0	这是几期	不VR 讲解一下
0	77	1	房证	新政出来后业主做工作
0	77	2	能够看房	业主说价格空间具体谈
0	78	0	能够看房	好现在帮问问
1	78	1	看贷满84万	一期都小户型
0	78	2	这套房东装修	先看看房子
0	79	0	小陈最近房子看	稍
1	79	1	现在看之前说水木林溪看	方便
0	79	2	买家首付万	时间先看看
0	80	0	想看一看	业主租户说说主要租户12月才到期
0	80	1	房子所在区域周边介绍	第二次公积金第一次公积金贷款必须还掉
0	80	2	看上面毛坯	148.8增值稅
1	81	0	有税	好到时候发微信里
1	81	1	现在可能降	看看
0	81	2	套房周边配套设施	两套复式价位会比较贵
1	82	0	还便宜	目前最便宜一套
0	82	1	最低	十小
0	82	2	了解一下时间去看看	好👌
0	83	0	阳光遮挡	目前价格带走电器客厅空调快两万看着都馋带摄像头
0	83	1	顶楼双税	很多年前装修
0	83	2	看看房子	您好
0	83	3	房子一会看看去	没有影响小区最边上位置采光没有影响
0	83	4	价格能谈	线上带看一下
1	84	0	134万看	房子没有满两年增值税
0	84	1	不影响第二套公积金贷款	上午阳光
0	84	2	这是家装房串子	临桥
0	84	3	房子首付钱	两年声音肯定会5楼声音由下传上渐渐减小需要上去感受一下看看不能接受
0	84	4	税钱	你好房子钥匙随时看
1	85	0	您好想咨询云熙雅苑小区	这套才上新
0	85	1	鹭江花园周围	10万首付
0	85	2	您好请问户型优缺点	贵姓
0	85	3	房子	72.28
0	85	4	家具都打包	叠墅地下两层
1	86	0	装修	微信号加微信聊
0	86	1	房子小学	不靠
1	86	2	采光影响	价格还谈谈
0	87	0	看房	下面两个房上面三个房每个房间都朝南上面很大客厅
0	87	1	税	装修好一点60万左右有点难谈
0	87	2	东下午没什么阳光	住附近问题随时问
0	87	3	有大税	您好
0	88	0	马路	无遮挡
0	88	1	好久看房	周六上午
0	88	2	增值税	想看园区
1	89	0	请问首付贷款	户型不错
0	89	1	价位还谈不	这套房子报价底价
0	89	2	对口万德小学	收到问一下
1	90	0	一期	你好
0	90	1	税	小区一共八栋
0	90	2	现在看	总高6楼没有电梯后期加装可能性比较大
0	90	3	橄榄树业主价格还谈看到最近房价掉	不是太吵
0	90	4	看房子	谈
0	91	0	帮问问58万53万卖不卖	考虑居室
0	91	1	看没住人感觉都没装修	针对240万这套
0	92	0	中学小学	方便留个联系方式
0	92	1	前面遮挡	全送
0	92	2	好周六带去看看二中心	我加微信
0	93	0	方便	税大概1.6万左右
0	93	1	房贷	确定考虑买
0	93	2	最低还	采光没问题不吵
0	93	3	明天下午看房子	三中学区
0	93	4	您好请问套房源首付	时间
1	94	0	房子加家具家电一起	都真房源
0	94	1	税费大概	您好之前咨询绿地468公馆三期小区新上房源不知道是否感兴趣
0	94	2	满几年	月还款3656
0	94	3	一期二期	好
0	94	4	周边配套成熟一点	我留电话
1	95	0	您好请问户型优缺点	月供6800
0	95	1	挡光	装修好其他人住房子不卖看看层高
0	95	2	家居家电全送	留个电话方便沟通
0	96	0	好南北通透	没满两年房产证照片
0	96	1	税	提前约业主都方便
0	96	2	业主成交	  17楼
1	97	0	是不是采光特差	最近市场不景气降不估计短时间内卖不出去
1	97	1	您好请问户型优缺点	不临街正对小区花园正对着进小区喷泉
1	97	2	小区	帮整理整理
0	97	3	不要单间配套	稍等一下
0	97	4	好久看房	有套5楼  130平360万
0	98	0	公积金贷款	基本能装都会装成
0	98	1	家具家电是不是到时候弄走	房子2009年
0	98	2	户型	年后卖一套304万5层
1	98	3	毛坯	老师贵姓
0	98	4	不是说装修好看一下	房主商量
0	99	0	确认信息	没有降价
0	99	1	区下证	这套房子最近业主没有联系上
0	99	2	小学学位龙口西学位	周边配套生活交通很成熟买菜购物进岛都比较方便海沧建行站距离地铁2号线马青路地铁口800米不到
0	99	3	老闵行周边配套	随时都有空带看房
0	99	4	看房	没
0	100	0	想一下再降点价能够卖出去	价格商量
0	100	1	南北通透	你好
0	100	2	房产证	顶楼户型阳台不算面积 非顶楼阳台算一半面积
0	101	0	这套装修	明天过来不
0	101	1	看看	买学区房户口迁过来报名
0	101	2	您好想了解新锦港花园即将上架3室房源报价	您好
1	101	3	能装	具体还没有弄
1	101	4	税少	好约一下
1	102	0	底价	房子首付100左右
0	102	1	老证	不是居住型
0	102	2	价格可谈	想看套房源
0	102	3	房子房东可有想降价卖想法😄	您好之前咨询房源户型很优质时间去看看
0	102	4	套房源价格优惠空间	租户不方便看
0	103	0	周边环境	122万房价算是6.4万
0	103	1	清水精装修	二期
0	103	2	牡丹花园都没有房本	聊下
0	103	3	最低多钱	全款950万
0	103	4	能够看房	差距太大
1	104	0	顶楼户型	6栋
0	104	1	能够看房	方便加个微信聊
0	104	2	小学不小区对口小学读升初中是不是有点麻烦	带去售楼处看看
0	104	3	套房源价格优惠空间	11楼说错
0	104	4	14层那套税	业主记不得了
1	105	0	找几套一起看看	2022年
1	105	1	您好请问套房源首付	你好
0	105	2	采光	工作
0	106	0	还不能便宜	PHONE
0	106	1	安排下时间去看看	学区要求
0	106	2	看房方便	不占
0	107	0	满几	几套房子满意
0	107	1	您好请问户型优缺点	125平户型最好
1	107	2	价格谈	挺增值税
1	108	0	底价	想了解一块或者说卡萨了解没
0	108	1	330能谈下来	需要预约
1	108	2	谈	小区看看
0	109	0	满几年	空间不太多
0	109	1	您好 请问花语拾光	想买个学区房
0	109	2	北区好像好几套一房沿街楼层不好	无锡户口
0	110	0	卖房要求全款贷款	都城南
1	110	1	满二年	钥匙随时都看
1	110	2	能够看房	西向下午采光最多6小时
1	111	0	三房都看一下	有证8000左右
0	111	1	异地贷款	房子资产处置
1	111	2	请问清水装修	确实
0	111	3	您好请问房子周边学校	高薪第一实验
0	111	4	有税	好
0	112	0	三中学区便宜	放心肯定不会泄漏电话私客
1	112	1	您好请问户型优缺点	一套新上水城三房
0	112	2	小区房源多么	价格确实很好
0	113	0	周边配套齐全	131号
0	113	1	看房	星海街了解
1	113	2	这套房子清江山水几期	首套二套
1	113	3	您好请问房子周边学校	附近有雅礼雨花一中新华都南雅中学
0	113	4	贷款最多能贷年	小区有满两年没有满两年
0	114	0	路上	公寓有个大税
0	114	1	能够看房	售
0	114	2	采光	这套房子满两年
1	115	0	满几年	考虑套三嘛  装修
1	115	1	房产证	一套30多万
1	115	2	增值税	基本都两房改3房
1	116	0	满2年	这套房子业主才交契税
1	116	1	对口中学	看上房谈
0	116	2	再带看看房子	这套房子学籍没有占用
0	117	0	本来都想看房子再留给	对口徐教院附中
0	117	1	看看	目前还没有照片里面租客都晚上才回来摄影师白天才拍摄vr总是错过
0	117	2	毛坯	你好
0	117	3	位置不靠马路下午三点左右	中介费贷款服务
0	117	4	你好 麻烦帮介绍一下房子	二套房贷款首付最低40%
0	118	0	房子税	独栋
0	118	1	小区配套小学中学	预算
0	118	2	您好想咨询蜀镇锦悦府小区	一共5栋住宅
0	119	0	您好请问户型优缺点	您好
0	119	1	到时候看看	找下午目前两居室还佳世苑还三居室整个苏庄地区都找一下苏园价格合适
0	119	2	房子是不是税费很高	好稍发起稍后直接点进去就行
0	119	3	高税	按揭
0	120	0	你好南苑北苑有没有房产证30万左右小房子	方便加微信会去拍视频
0	120	1	装修	好
0	120	2	多久满	一期没有高税
0	121	0	家具家电是不是到时候弄走	想考虑大面积
0	121	1	方便看房子	老师买房
0	121	2	您好请问房子周边学校	请问看房子
0	122	0	讲价	首付10万
0	122	1	我要家具家电	找个正常首付3.5成7成客户买房子
0	122	2	房子有大税	我加微信
1	123	0	帮看一下楼层高一点视线好一点	以前学校
0	123	1	还迁房房产证	喜欢名厨明卫
0	123	2	税费高	认识
0	123	3	套房源价格优惠空间	国兴佳园初中上 付村中学杨柳青中学     高中需要考
0	123	4	看那套	小学现在新开学黄埔军校小学
0	124	0	您好正在看东怡新区东雅园房子	过去详细说
1	124	1	一次付清按揭	房子五栋恶魔
0	124	2	物业配套咋样安静不	你好
1	125	0	一套咋样	佳期漫整个小区都没有满二
0	125	1	这是江东帝景一期二期	您好
0	125	2	价格谈	接受这种协议抵押模式
1	126	0	您好请问随时带看	上次问三楼还看
0	126	1	您好正在看丽湖花园房子	这种都看房签不了合同有点小问题
0	126	2	您好请问做最低首付税费分别	😊稍
0	127	0	付款方式需要好	你好
1	127	1	有本	时间过来看看
0	127	2	房子现在看不	您好之前咨询中海国际社区五期小区新上房源不知道是否感兴趣
1	128	0	边儿	这是
0	128	1	84栋电线	去谈
0	129	0	初中高中都上	中北镇物业最好万科中北镇二手房里万科假日风景花园洋房
0	129	1	请问小区学位配套地铁多远	50万
0	129	2	税才能少	奥体住习惯换地方可能不太适应
0	130	0	国际中心	价格谈
0	130	1	能够看房	最擅长业主议价
0	130	2	户型	没风险 正常房贷
0	130	3	套房源价格优惠空间	3349电话
0	130	4	其他费用议价空间	先看房
1	131	0	房主不再济南	全款
1	131	1	二套税	价格不同业主议价空间不
1	131	2	带看下	抱歉刚才带看没有及时回复
0	131	3	能够看房	留个联系方式
0	131	4	房东心理底价大概	都天长
0	132	0	能线上看不	下午都 看多久过来
0	132	1	介绍一下房子情况	不会
1	133	0	10楼房子价格没有少	具体房东说面聊出个价格房东先沟通一下
0	133	1	毛坯交房	电话PHONE
0	133	2	全套	华润确实不错
1	134	0	套房源价格优惠空间	价格不包含税费
0	134	1	要交很多税	我先VR带看
0	134	2	最低价	两个点过户费拆改费
0	134	3	五环外房子是不是最高贷款额	您好
0	134	4	房贷	舜耕小学舜耕中学学区
0	135	0	预约看房	三房价格550万朝上
0	135	1	有证	PHONE
0	135	2	付款方式	房子目前业主介绍465左右
0	135	3	两套觉得去看看	不能上学
1	136	0	房东装修	小学对口实验初中对口川南
0	136	1	最低钱	星加坡上班走路五分钟
0	136	2	您好请问房子周边学校	法院房子房本正在办理中
0	136	3	看今天	钥匙
0	136	4	看看	小学高新三小
1	137	0	这套谈价格	咨询房子还
0	137	1	只能看147	看中房子价格可谈老师
0	137	2	这套只能全款	采光没挡
0	137	3	配套	您好
0	137	4	高税	多层4楼
1	138	0	看不	目前业主还不确定卖不卖
0	138	1	税费算	 人房主 不讲价   没办法
0	138	2	请问读学校	买卖
0	139	0	一带配套小学	丰庆路小学
0	139	1	之前还说470	都新家具没有装
0	139	2	之前	130  两个卧室通透  简单装修
0	139	3	介绍一下房子情况	实地看看
0	139	4	这房最低钱	2栋21楼前天卖出150万成交
0	140	0	小学	好
1	140	1	桃园小区对口川中南校	地铁1号线倪家桥地铁站400米左右
0	140	2	离东特星加坡花园远	预算大概
0	140	3	房有房本	地铁方便
0	140	4	看房	没有房子售后公房满五唯一没有增值税税
1	141	0	套房对口小学	随时
0	141	1	卖房要求全款贷款	房东自住精装修
0	141	2	谢谢六十多万不含家私	有空看房找符合看下
0	142	0	不影响第二套公积金贷款	PHONE
0	142	1	还便宜不	留个电话谈完回个电话
1	142	2	采光好	契税交没摸
0	142	3	能够看房	楼盘挺适合还注册
0	142	4	请问学区	凯嘉大厦了解
0	143	0	您好想咨询古北虹苑三期小区	不是报考
0	143	1	房价空间	好 再见
0	143	2	您好想了解荣安月园即将上架3室房源报价	有个税
0	143	3	有证	不是现房交房日期2022月9月份左右
0	143	4	毛坯家具	89平边套小三房户型非常好
0	144	0	周围环境安静	老师看房提前预约就行想时间看房老师
0	144	1	三期	没事想买房
0	144	2	200万降到193那套	找找合适房源
1	145	0	得空去看看	1梯3户
1	145	1	看上面毛坯	一起最中间一栋
0	145	2	税	你好
1	146	0	这套房子带全套家具家电	请问付款方式价格业主沟通一下
0	146	1	增值税310万以上	阳台打通
0	146	2	能够看房	三四层有点低
0	147	0	最低钱	钥匙时间实地看看
0	147	1	户型	首付限制需要6成
0	147	2	套房源价格优惠空间	本地外地
1	148	0	房子再降一下23万不包税	电话
0	148	1	情况	雅苑物业管理有限公司
0	148	2	房子有大税	姐
1	149	0	几年后没大税	您好之前咨询房源户型很优质时间去看看
0	149	1	这套房子最低钱	好
0	149	2	几套一起看	东区
0	149	3	您好请问户型优缺点	一套365
0	149	4	初中不是直接对口小学	不是
1	150	0	满几	最早今年年底11月份
0	150	1	估计最低	好
0	150	2	不需要不需要过来看哈	先看看房子 价格合适房子没相中 不建议买
0	151	0	您好请问房子周边学校	去看看
1	151	1	看房	此房湘江道小学房子
0	151	2	最低卖	交通很方便
1	151	3	套房源价格优惠空间	互留 担心打电话没事拉黑
1	151	4	税	发松榆西里房现在合租状态看房需要敲门个别房间不能看
1	152	0	装修材料	这套房子6栋1层
1	152	1	几期	没有车位
0	152	2	能够看房	您好
1	153	0	套房源价格优惠空间	几点 约下
0	153	1	光线好	找一下户型图
0	153	2	时间两都看看去	不能1911以后海淀都不保证多校划片
0	154	0	介绍下	看付款方式
0	154	1	公积金贷款	不客气
0	154	2	精装房	小区门口卖菜超市士多公交车
1	155	0	税费	刚发三月
1	155	1	您好想咨询锦绣雅苑小区	公办
1	155	2	满两年算下来能买成	不临街
1	155	3	我想看哈房子	不行上次客户出422都没签
0	155	4	套房源价格优惠空间	首套麽
1	156	0	去帮问问业主价格	简装
1	156	1	精装带家具	约下
1	156	2	价格最谈	中学46中中山路
1	156	3	前面遮挡	需要发给您看看
0	157	0	南向两居室是不是都街	19年六月份下证
0	157	1	啥时候满两年	景观
0	157	2	没电梯建时间很久偏僻配套设施不齐全	房子单价便宜
0	158	0	南北通透	南博之前说那套555明天看不了一套110平米3房515万看
1	158	1	读	看
0	158	2	您好请问房子周边学校	目前底价185万
0	159	0	教育交通公园配套完善不	泰达国际会馆50年产权住宅民水民电有燃气
0	159	1	几楼影响采光	抽个时间过来一起带看
1	159	2	户型185看一下	看一下
0	159	3	这套房子一起看	方便留个电话加微信新房子第一时间发给您朋友圈每天都会发性价比高特价房空看看
0	159	4	小区位置	电话一下
1	160	0	证过	没有降价云枫苑套新出
0	160	1	小区上小学	带闺密看一下行
0	160	2	看	物业6块首套首付3.5成
0	161	0	采光咋样	之前看过
1	161	1	十一学校保证上	提前预约
0	161	2	满两年算下来能买成	几点有空
0	162	0	底价	您好
0	162	1	配套	2梯4户  25楼
0	162	2	装修	里面房子都看过
1	163	0	您好请问房子周边学校	请问帮助
1	163	1	南向两居室是不是都街	15万
0	163	2	400万能卖	之前5.6现在调成5.3
1	164	0	套房还多个个税	业主年前挂出来说年后看房
0	164	1	现在我线上看房	最近房主着急卖
0	164	2	一期二期	找找  咱留个电话  找到合适电话联系
0	165	0	明天这套看	开车
0	165	1	现在学区	请问首套贷款二套名下北京有房北京户口外地户口详细算一下
0	165	2	不能看成交精装修	周几有时间户型都带看一下95中间户边户都边户南北通透中间户半通透
1	166	0	免税	PHONE
1	166	1	 采光遮挡	看两套房子通
1	166	2	您好请问户型优缺点	微聊太多没翻出来不好意思
0	166	3	博士新居不能看	小学杭州市卖鱼桥小学文津校区
0	166	4	满五唯一	几点过来看
0	167	0	无产证	都看一下只看芳园南里西区那套
0	167	1	底价	看
0	167	2	930这套位置	看过
0	167	3	想抽时间看一下	户型现在最便宜楼层低点132平190万17楼
0	167	4	看	租客住 装修还
1	168	0	能够看房	这套房子通透户型送入户花园户型比较好用房东价钱好商量
0	168	1	明天上午看	栋不能说
0	168	2	约今天用空看看	一套带窗户
0	169	0	房产证	出门地铁口很方便
0	169	1	价格谈	初中摇号高中考
0	169	2	采光	二楼卧室没采光主卧室还
1	169	3	看	看看房子
0	169	4	能够看房	好
1	170	0	学区房	您好看
0	170	1	小学	😁
0	170	2	具体看房子	想看保利房子
0	171	0	整体不错	最便宜90万那套
0	171	1	房证齐全	😄
1	171	2	5.6增值税	OK
0	171	3	第二个边户中间户	推荐一套
0	171	4	配套学区	提前约下
0	172	0	房子有大税	户型
